split,material,n,mean,median,std,abundance_sum,mass_fraction_reference,dominant_count,pure_ge_0.90,pure_ge_0.95,pure_ge_0.99,fcls_armse_vs_reference,fcls_bias_vs_reference,fcls_mae_vs_reference
all_valid_descriptive,tree,10000,0.3417356168688312,0.16505552618688668,0.3713579587348535,3417.356168688312,0.3417356168688312,3493,1434,1204,980,0.08714548376079331,-0.05108350792038629,0.05278331072805802
all_valid_descriptive,water,10000,0.31502568316794916,0.0,0.4323922500365641,3150.2568316794914,0.31502568316794916,3326,2189,1650,1011,0.0822853043064253,0.03425072198458488,0.03871568852661208
all_valid_descriptive,dirt,10000,0.2478424991032407,0.09538903494987823,0.2918152637217054,2478.424991032407,0.2478424991032407,2428,304,160,61,0.09824430976453208,0.01743538476259835,0.059881965244339974
all_valid_descriptive,road,10000,0.09539620085997902,0.0,0.20671674986331579,953.9620085997901,0.09539620085997902,753,205,135,41,0.07049915714654739,-0.000602598826796929,0.030718132461930402
train,tree,5800,0.25896969067158054,0.030292185567066532,0.3670881651747773,1502.0242058951671,0.25896969067158054,1550,749,629,507,0.0748035328049827,-0.03733036471964975,0.038541401219956396
train,water,5800,0.5360305225852663,0.8272214950039762,0.45101429451184993,3108.9770309945443,0.5360305225852663,3306,2180,1644,1005,0.09237165794937023,0.046042503875506166,0.048791666424174845
train,dirt,5800,0.15918735044132928,0.0,0.2679873846284043,923.2866325597098,0.15918735044132928,859,187,109,42,0.08523290934209334,-0.0012567288178059193,0.042479957726602006
train,road,5800,0.045812436301823856,0.0,0.0933514428823573,265.71213055057837,0.045812436301823856,85,0,0,0,0.062130208440680734,-0.007455410338050497,0.02721626393917082
val,tree,1800,0.3863739802420456,0.36984708012495326,0.30363851479866205,695.4731644356821,0.3863739802420456,691,136,110,81,0.10429644736313705,-0.07206693351459144,0.07534116292302223
val,water,1800,0.013719794589876924,0.0,0.0632897598958047,24.69563026177846,0.013719794589876924,10,3,1,1,0.05482878544166225,0.009896150661261224,0.022481340966819058
val,dirt,1800,0.3962299044386766,0.3978529689499912,0.26418706572722783,713.2138279896179,0.3962299044386766,720,58,33,15,0.1135000735552121,0.05165195278401682,0.0853340083241959
val,road,1800,0.2036763207294008,0.0025132275911303958,0.30092924251430053,366.61737731292146,0.2036763207294008,379,91,48,15,0.06532181449165339,0.010518830069313393,0.03286412784035779
test,tree,2000,0.5296682759002658,0.56719621370654,0.3725504218767648,1059.3365518005317,0.5296682759002658,1096,513,434,363,0.10036478491881057,-0.06972994922227972,0.07084500392859408
test,water,2000,0.002321066148808784,0.0,0.009701398368482288,4.642132297617568,0.002321066148808784,0,0,0,0,0.0748549058123554,0.024627849254512908,0.026525067453533283
test,dirt,2000,0.33546451984838915,0.30018553581702967,0.28950874890243894,670.9290396967783,0.33546451984838915,663,45,10,0,0.11261846126087843,0.036699638832402556,0.08186240165648938
test,road,2000,0.13254613810253618,0.0,0.27325283636727316,265.0922762050724,0.13254613810253618,241,99,75,21,0.09360928594566137,0.008402461135364268,0.039155766495943246
buffer,tree,400,0.40130561639232726,0.3817419718086452,0.3105643629218225,160.5222465569309,0.40130561639232726,156,36,31,29,0.0969913372444194,-0.06284646264767581,0.06747219771551215
buffer,water,400,0.029855095313876777,0.0,0.13811946999563965,11.942038125550711,0.029855095313876777,10,6,5,5,0.06329321450229128,0.020979819171542395,0.026621678396414543
buffer,dirt,400,0.4274887269657511,0.4420251208764881,0.26587369493066504,170.99549078630042,0.4274887269657511,186,14,8,4,0.12073281534411498,0.038175205233056064,0.08777469833144162
buffer,road,400,0.14135056132804485,0.0,0.25231892170019127,56.54022453121794,0.14135056132804485,48,15,12,5,0.07256857964775386,0.0036914382430773525,0.029650076668956825
