band_id_original,clean_dtype,raw_min,raw_max,mean_valid,std_valid,nonfinite_count_all,zero_count_all,negative_count_all,gt1_count_all,constant_valid,rmse_reference_valid,bias_reference_valid,rmse_fcls_valid,bias_fcls_valid,q0_valid,q0.01_valid,q0.05_valid,q0.25_valid,q0.5_valid,q0.75_valid,q0.95_valid,q0.99_valid,q1_valid
4,float64,0,313,0.014530900000000013,0.008037635796053525,0,28,0,0,False,0.015364553489082855,0.010337067018797101,0.015417245563940363,0.010363558627597755,0.0,0.0006,0.0024,0.009,0.014,0.019,0.0272,0.0402,0.0626
5,float64,0,330,0.010518720000000004,0.00989226453152154,0,182,0,0,False,0.004107073877594396,-0.0002628423524434849,0.004171840503833821,-0.0006180544279641826,0.0,0.0,0.001,0.0044,0.0084,0.0128,0.0316,0.052402000000000046,0.066
6,float64,21,747,0.03465704000000005,0.020025926855913534,0,0,0,0,False,0.0077329003403039335,-0.0007426721201084421,0.007909356576542813,-0.0014572142361984346,0.0042,0.0096,0.0136,0.0224,0.0314,0.0392,0.077,0.11800200000000004,0.1494
7,float64,123,1122,0.06536189999999985,0.028472325377285147,0,0,0,0,False,0.010345755398065372,-0.0007471356745786592,0.010441731030835885,-0.0017299007702634463,0.0246,0.0302,0.035,0.047,0.0614,0.0726,0.12481999999999971,0.1838,0.2244
8,float64,110,1446,0.07762105999999996,0.038391009891332505,0,0,0,0,False,0.013333900106813689,0.0008436620907971788,0.012976690433324865,-0.0008599878862704526,0.022,0.0304,0.0358,0.053,0.0726,0.0884,0.15662999999999955,0.235,0.2892
9,float64,117,1592,0.08597733999999956,0.04273639210935321,0,0,0,0,False,0.01405027362664146,0.0012474768370844098,0.013196953508150389,-0.0008439877734200721,0.0234,0.0328,0.0388,0.0578,0.0816,0.0982,0.17400999999999983,0.26200200000000007,0.3184
10,float64,130,1694,0.09042432000000028,0.045459366829484184,0,0,0,0,False,0.014512477831698345,0.0006663247818173301,0.013434793788093,-0.0015133074292201273,0.026,0.0332,0.0398,0.0598,0.0864,0.1042,0.182,0.27780200000000005,0.3388
11,float64,125,1743,0.09317748000000044,0.04735522329004062,0,0,0,0,False,0.014998049639733032,0.0001461079221880204,0.01376760407027067,-0.0020761619431559986,0.025,0.0326,0.04,0.061,0.09,0.1082,0.1872,0.2858,0.3486
12,float64,121,1752,0.09571739999999954,0.04833714779794109,0,0,0,0,False,0.015333138176888248,0.0018550746324901418,0.013434449194741462,-0.0006495683743518035,0.0242,0.0332,0.0404,0.0622,0.0933,0.1114,0.1914,0.29021000000000025,0.3504
13,float64,124,1799,0.10021269999999988,0.04992555885225507,0,0,0,0,False,0.015568276420116711,0.0020147639752802183,0.013542428315584342,-0.0006716962143646463,0.0248,0.0346,0.0418,0.0648,0.0986,0.11745,0.19720999999999983,0.2992,0.3598
14,float64,143,1844,0.10517365999999968,0.05139808158097335,0,0,0,0,False,0.016176154727516108,0.003059035732050851,0.013555734937345585,0.00019138341866325445,0.0286,0.0368,0.0442,0.0678,0.1044,0.1242,0.20481999999999972,0.3062020000000001,0.3688
15,float64,153,1905,0.1105389200000001,0.052553189562895224,0,0,0,0,False,0.01668178359471077,0.002401545100190743,0.013874680289181021,-0.0004984947997207478,0.0306,0.0404,0.048,0.072,0.11,0.13,0.2116,0.3158,0.381
16,float64,196,1935,0.1190094199999995,0.051866789174418934,0,0,0,0,False,0.017436641075431834,0.0033292200788763147,0.01384268834443586,0.000652686961685505,0.0392,0.049598,0.0586,0.0816,0.1174,0.137,0.22060999999999983,0.323,0.387
17,float64,237,1989,0.12807525999999947,0.050152143124022316,0,0,0,0,False,0.01864199186586198,0.004102295579725417,0.014339974189734614,0.0018839211123960176,0.0474,0.061198,0.0714,0.0936,0.1246,0.1434,0.2286,0.3318,0.3978
18,float64,261,2129,0.13510981999999985,0.04921889262841652,0,0,0,0,False,0.01962673690745608,0.004339844179500162,0.014982919653096591,0.0024739689301061262,0.0522,0.0688,0.0808,0.1024,0.1304,0.149,0.23481999999999972,0.3384,0.4258
19,float64,271,2281,0.14026889999999986,0.049483115916340754,0,0,0,0,False,0.020548755586558592,0.004116411262675699,0.015514864676592756,0.0023528632482950696,0.0542,0.073,0.0862,0.1078,0.1352,0.154,0.24141999999999972,0.34420200000000006,0.4562
