split,material,threshold,n_selected_using_A_ref,mean_spectrum_rmse_to_M,mean_spectrum_sad_degrees_to_M,status
all_valid_descriptive,tree,0.9,1434,0.03243007101898569,2.410818655745307,descriptive_A_ref_selection
all_valid_descriptive,tree,0.95,1204,0.033838936355219264,3.079224346637545,descriptive_A_ref_selection
all_valid_descriptive,tree,0.99,980,0.03579835016637773,3.839905084344423,descriptive_A_ref_selection
all_valid_descriptive,water,0.9,2189,0.003629729736830402,2.4443426537857733,descriptive_A_ref_selection
all_valid_descriptive,water,0.95,1650,0.0023389671969946046,2.231990310934568,descriptive_A_ref_selection
all_valid_descriptive,water,0.99,1011,0.0030469373332566874,3.859592646345067,descriptive_A_ref_selection
all_valid_descriptive,dirt,0.9,304,0.03281459194444484,1.224467488039028,descriptive_A_ref_selection
all_valid_descriptive,dirt,0.95,160,0.0328483357616453,1.676764607949953,descriptive_A_ref_selection
all_valid_descriptive,dirt,0.99,61,0.03416556685092026,2.309878331368563,descriptive_A_ref_selection
all_valid_descriptive,road,0.9,205,0.03159258643704662,1.2867456936859984,descriptive_A_ref_selection
all_valid_descriptive,road,0.95,135,0.03977100134564235,1.6188721850565315,descriptive_A_ref_selection
all_valid_descriptive,road,0.99,41,0.04084258144826289,1.673721525649305,descriptive_A_ref_selection
train,tree,0.9,749,0.032126792781245875,2.5585733616230075,descriptive_A_ref_selection
train,tree,0.95,629,0.035506951714188634,3.190515642621463,descriptive_A_ref_selection
train,tree,0.99,507,0.03880444386885204,4.004230048240882,descriptive_A_ref_selection
train,water,0.9,2180,0.0036492436047271017,2.429113108969077,descriptive_A_ref_selection
train,water,0.95,1644,0.002345597498778434,2.216913142324198,descriptive_A_ref_selection
train,water,0.99,1005,0.0030328127374870594,3.841811715136982,descriptive_A_ref_selection
train,dirt,0.9,187,0.023064028614786757,1.5130451177863122,descriptive_A_ref_selection
train,dirt,0.95,109,0.02588622478811783,1.5321309293439724,descriptive_A_ref_selection
train,dirt,0.99,42,0.028873939839915385,1.672549654086032,descriptive_A_ref_selection
train,road,0.9,0,,,undefined_empty_selection
train,road,0.95,0,,,undefined_empty_selection
train,road,0.99,0,,,undefined_empty_selection
val,tree,0.9,136,0.040541725598141246,2.263723603084468,descriptive_A_ref_selection
val,tree,0.95,110,0.039093434238793474,3.017256801101766,descriptive_A_ref_selection
val,tree,0.99,81,0.036398302073122946,4.065319421407486,descriptive_A_ref_selection
val,water,0.9,3,0.011214944001375805,14.161077221726533,descriptive_A_ref_selection
val,water,0.95,1,0.00802026608001544,8.206714582885771,descriptive_A_ref_selection
val,water,0.99,1,0.00802026608001544,8.206714582885771,descriptive_A_ref_selection
val,dirt,0.9,58,0.046363692385469585,2.13326887262754,descriptive_A_ref_selection
val,dirt,0.95,33,0.05052465408049602,3.2222798864188986,descriptive_A_ref_selection
val,dirt,0.99,15,0.05169548035404105,4.680012270315162,descriptive_A_ref_selection
val,road,0.9,91,0.011139715619802463,0.8741131429427181,descriptive_A_ref_selection
val,road,0.95,48,0.00918221810397941,0.959064795087799,descriptive_A_ref_selection
val,road,0.99,15,0.008374621843966161,1.0053442493757259,descriptive_A_ref_selection
test,tree,0.9,513,0.0314061461006017,2.3627461646915062,descriptive_A_ref_selection
test,tree,0.95,434,0.030643145416322782,3.0456096377806743,descriptive_A_ref_selection
test,tree,0.99,363,0.032170003446688175,3.715177509979951,descriptive_A_ref_selection
test,water,0.9,0,,,undefined_empty_selection
test,water,0.95,0,,,undefined_empty_selection
test,water,0.99,0,,,undefined_empty_selection
test,dirt,0.9,45,0.06716774241847602,1.1772510310063504,descriptive_A_ref_selection
test,dirt,0.95,10,0.06582453269242382,1.3019972683887684,descriptive_A_ref_selection
test,dirt,0.99,0,,,undefined_empty_selection
test,road,0.9,99,0.06412607971430762,1.7245363746937254,descriptive_A_ref_selection
test,road,0.95,75,0.06311133631566934,2.003158435526322,descriptive_A_ref_selection
test,road,0.99,21,0.0639825141149433,2.0756986334011565,descriptive_A_ref_selection
buffer,tree,0.9,36,0.02790797621791808,2.053360220680863,descriptive_A_ref_selection
buffer,tree,0.95,31,0.030446533654268887,2.46799350630377,descriptive_A_ref_selection
buffer,tree,0.99,29,0.03132633868692963,2.6554238561274675,descriptive_A_ref_selection
buffer,water,0.9,6,0.008177619438013215,9.329525203049908,descriptive_A_ref_selection
buffer,water,0.95,5,0.008110621403882358,8.875414124512186,descriptive_A_ref_selection
buffer,water,0.99,5,0.008110621403882358,8.875414124512186,descriptive_A_ref_selection
buffer,dirt,0.9,14,0.021657446495465745,1.0052758352578643,descriptive_A_ref_selection
buffer,dirt,0.95,8,0.02851146356597421,1.200411381283367,descriptive_A_ref_selection
buffer,dirt,0.99,4,0.037220590549276886,1.467923895600254,descriptive_A_ref_selection
buffer,road,0.9,15,0.05341286610943726,2.367475727781589,descriptive_A_ref_selection
buffer,road,0.95,12,0.06833729166498156,2.838794444723338,descriptive_A_ref_selection
buffer,road,0.99,5,0.07130430686762694,2.716794319338859,descriptive_A_ref_selection
