material,threshold,n,band_id_original,mean_selected,std_selected
tree,0.95,1204,4,0.022785382059800626,0.004241808866745852
tree,0.95,1204,5,0.0015779069767441855,0.0013935102089005747
tree,0.95,1204,6,0.014779734219269106,0.0036702161119065158
tree,0.95,1204,7,0.03641196013289031,0.004500630056859773
tree,0.95,1204,8,0.037561295681063166,0.005513432432853641
tree,0.95,1204,9,0.040680232558139594,0.005634502275512942
tree,0.95,1204,10,0.04158322259136214,0.006225391493669805
tree,0.95,1204,11,0.0413579734219269,0.0063224533601275385
tree,0.95,1204,12,0.04189269102990038,0.006393771346197879
tree,0.95,1204,13,0.0436863787375415,0.006744879724730174
tree,0.95,1204,14,0.0462137873754152,0.006859228277735519
tree,0.95,1204,15,0.05017093023255818,0.007157422010217227
tree,0.95,1204,16,0.06079867109634546,0.00794537820238065
tree,0.95,1204,17,0.07461943521594681,0.009493963163931873
tree,0.95,1204,18,0.08515614617940206,0.011020057390153925
tree,0.95,1204,19,0.09128887043189368,0.011999636306219894
tree,0.95,1204,20,0.09407508305647845,0.01234628585829613
tree,0.95,1204,21,0.08880714285714295,0.011969020732091652
tree,0.95,1204,22,0.07996677740863802,0.01121515760240572
tree,0.95,1204,23,0.07511378737541516,0.010782872598233776
tree,0.95,1204,24,0.07222541528239193,0.01075941611457349
tree,0.95,1204,25,0.069812292358804,0.010759650619609113
tree,0.95,1204,26,0.0658734219269103,0.010563426117831964
tree,0.95,1204,27,0.06361611295681059,0.010518187357599523
tree,0.95,1204,28,0.06253488372093026,0.01062346236220706
tree,0.95,1204,29,0.058080398671096344,0.010476719064954364
tree,0.95,1204,30,0.05436495016611292,0.010383599422052517
tree,0.95,1204,31,0.05084003322259138,0.010418847539533937
tree,0.95,1204,32,0.05030764119601331,0.01061438133448128
tree,0.95,1204,33,0.051505980066445155,0.010465973856124312
tree,0.95,1204,34,0.04977923588039865,0.01046123046958225
tree,0.95,1204,35,0.05271196013289039,0.01080250170107522
tree,0.95,1204,36,0.07329800664451834,0.012668370218775421
tree,0.95,1204,37,0.13011478405315596,0.018570115331497754
tree,0.95,1204,38,0.2030294019933553,0.02770897582919392
tree,0.95,1204,39,0.2815215946843852,0.03870308518416325
tree,0.95,1204,40,0.35510315614617965,0.04903121004161587
tree,0.95,1204,41,0.4154320598006643,0.05772307071210747
tree,0.95,1204,42,0.45513986710963505,0.06330684415547712
tree,0.95,1204,43,0.4767759136212626,0.06594793464770665
tree,0.95,1204,44,0.49321345514950155,0.06829038290295378
tree,0.95,1204,45,0.5031277408637881,0.06905971411876399
tree,0.95,1204,46,0.5102578073089694,0.0696783992075187
tree,0.95,1204,47,0.5161436877076423,0.07015415715267914
tree,0.95,1204,48,0.5192362126245853,0.07010977025107919
tree,0.95,1204,49,0.526502657807309,0.07076238766383053
tree,0.95,1204,50,0.5337315614617938,0.07141475717301089
tree,0.95,1204,51,0.5403287375415283,0.07223845529441465
tree,0.95,1204,52,0.5468320598006645,0.07288118580672538
tree,0.95,1204,53,0.5530235880398681,0.07340398145494734
tree,0.95,1204,54,0.5583106312292361,0.07394535865339327
tree,0.95,1204,55,0.564373754152824,0.07465222652924328
tree,0.95,1204,56,0.5709340531561469,0.07527014384646992
tree,0.95,1204,57,0.5786689368770762,0.076149217030456
tree,0.95,1204,58,0.5801732558139535,0.07623119352433007
tree,0.95,1204,59,0.5806498338870442,0.07609267938148928
tree,0.95,1204,60,0.5826451827242529,0.07618537336436439
tree,0.95,1204,61,0.5758428571428565,0.07515684037371223
tree,0.95,1204,62,0.571920930232559,0.07512113226044641
tree,0.95,1204,63,0.5647975083056476,0.07343997770980984
tree,0.95,1204,64,0.5562832225913615,0.0711973035360955
tree,0.95,1204,65,0.5559307308970113,0.07111120451638714
tree,0.95,1204,66,0.5539137873754156,0.07083589740663483
tree,0.95,1204,67,0.5603915282392024,0.0715814901276421
tree,0.95,1204,68,0.5675534883720929,0.07250917936704582
tree,0.95,1204,69,0.5764443521594689,0.07370351032942263
tree,0.95,1204,70,0.5849109634551495,0.07486872173625372
tree,0.95,1204,71,0.5941129568106311,0.0762265960916686
tree,0.95,1204,72,0.6029036544850496,0.07744412037504637
tree,0.95,1204,73,0.61076046511628,0.07857373221251233
tree,0.95,1204,74,0.6181544850498342,0.07956005768529617
tree,0.95,1204,75,0.6245827242524926,0.0804665851733223
tree,0.95,1204,76,0.6344009966777403,0.08177887817737634
tree,0.95,1204,77,0.6315147840531561,0.08145310829673236
tree,0.95,1204,78,0.6296049833887037,0.08120851330355179
tree,0.95,1204,79,0.6226880398671095,0.08036305011466797
tree,0.95,1204,80,0.6106676079734227,0.07870054296117988
tree,0.95,1204,81,0.5945237541528231,0.07788419805180073
tree,0.95,1204,82,0.5791307308970102,0.07534726174821595
tree,0.95,1204,83,0.5532156146179406,0.07144206319849301
tree,0.95,1204,84,0.5218837209302329,0.06738200983899234
tree,0.95,1204,85,0.5054742524916949,0.06472140424643616
tree,0.95,1204,86,0.5038181063122924,0.06481207516693048
tree,0.95,1204,87,0.499614119601329,0.0647369189185642
tree,0.95,1204,88,0.4981006644518284,0.06488080893707528
tree,0.95,1204,89,0.4997762458471762,0.06524748897697157
tree,0.95,1204,90,0.5034687707641191,0.06588812920083047
tree,0.95,1204,91,0.5133137873754152,0.06709976637155733
tree,0.95,1204,92,0.5234704318936879,0.06843117129979075
tree,0.95,1204,93,0.5310049833887038,0.06944222801469033
tree,0.95,1204,94,0.5374176079734232,0.07038159979917694
tree,0.95,1204,95,0.5423109634551486,0.07060732820852365
tree,0.95,1204,96,0.539279900332226,0.07052683635210955
tree,0.95,1204,97,0.5426878737541528,0.07053509589761957
tree,0.95,1204,98,0.545805647840532,0.07108278479127908
tree,0.95,1204,99,0.5455225913621259,0.07034199410130924
tree,0.95,1204,100,0.5418639534883728,0.06943407253088175
tree,0.95,1204,101,0.5349642857142849,0.06840285217945088
tree,0.95,1204,102,0.5351867109634557,0.06892371841111108
tree,0.95,1204,103,0.5338649501661131,0.06915681540545443
tree,0.95,1204,104,0.5143835548172755,0.06768601215305775
