split,n,pure_threshold,pure_count,mixed_count,mixed_interior_all_a_gt_0.01,mixed_boundary_min_a_le_0.01
all_valid_descriptive,10000,0.9,4132,5868,489,5379
all_valid_descriptive,10000,0.95,3149,6851,519,6332
all_valid_descriptive,10000,0.99,2093,7907,520,7387
train,5800,0.9,3116,2684,218,2466
train,5800,0.95,2382,3418,242,3176
train,5800,0.99,1554,4246,243,4003
val,1800,0.9,288,1512,187,1325
val,1800,0.95,192,1608,192,1416
val,1800,0.99,112,1688,192,1496
test,2000,0.9,657,1343,48,1295
test,2000,0.95,519,1481,49,1432
test,2000,0.99,384,1616,49,1567
buffer,400,0.9,71,329,36,293
buffer,400,0.95,56,344,36,308
buffer,400,0.99,43,357,36,321
