component_1based,train_explained_variance,train_explained_variance_ratio,train_cumulative_ratio
1,5.631110552873576,0.9166271668699173,0.9166271668699173
2,0.45628765227086265,0.07427409816440819,0.9909012650343255
3,0.02362168890716863,0.003845117508590077,0.9947463825429156
4,0.017176751302244987,0.0027960162980944178,0.99754239884101
5,0.006217166957577466,0.0010120249071248239,0.9985544237481349
6,0.0017305537991419353,0.0002816980080801226,0.998836121756215
7,0.001078852756341391,0.00017561469202737786,0.9990117364482424
8,0.000837767602715268,0.0001363710651676739,0.9991481075134101
9,0.0006919307655751526,0.00011263187454127123,0.9992607393879513
10,0.0005779056446256916,9.407096677955664e-05,0.999354810354731
11,0.0005084455933811619,8.276432142335384e-05,0.9994375746761543
12,0.0003934221059461703,6.404090045318115e-05,0.9995016155766075
13,0.0002589433111377648,4.2150561854446636e-05,0.999543766138462
14,0.0002259571634870749,3.678110608136203e-05,0.9995805472445434
15,0.00020169704607617234,3.283206574882242e-05,0.9996133793102921
16,0.00019446936041754632,3.165554950640699e-05,0.9996450348597986
17,0.00016335957428755967,2.659152619262089e-05,0.9996716263859913
18,0.00015696856603005066,2.5551203553326717e-05,0.9996971775895446
19,0.00010618427096602459,1.728458117592207e-05,0.9997144621707205
20,9.930059465851365e-05,1.6164062469681537e-05,0.9997306262331902
21,9.411107511528501e-05,1.5319317094562183e-05,0.9997459455502847
22,8.375837711660049e-05,1.3634114123160476e-05,0.9997595796644079
23,8.059279239648734e-05,1.3118823058238426e-05,0.9997726984874661
24,6.944023304620199e-05,1.1303419367507482e-05,0.9997840019068336
25,6.786268420491471e-05,1.1046627370367563e-05,0.999795048534204
26,5.5801720795373085e-05,9.083354474905003e-06,0.9998041318886789
27,5.2004587867043184e-05,8.465260554417619e-06,0.9998125971492333
28,4.894631029322016e-05,7.967436851317939e-06,0.9998205645860846
29,4.627934543385014e-05,7.533310683800509e-06,0.9998280978967684
30,4.206229886327347e-05,6.846863594145407e-06,0.9998349447603625
31,4.0402091724107805e-05,6.576616552802193e-06,0.9998415213769153
32,3.805161966088665e-05,6.194008801118497e-06,0.9998477153857164
33,3.6167075414343554e-05,5.887244364986393e-06,0.9998536026300814
34,3.574411943483306e-05,5.818395966865075e-06,0.9998594210260483
35,3.327024479512953e-05,5.4157008535493535e-06,0.9998648367269019
36,3.054325210366153e-05,4.971803408918345e-06,0.9998698085303108
37,2.8906074368235342e-05,4.7053050734309676e-06,0.9998745138353843
38,2.826413027176216e-05,4.600809984422494e-06,0.9998791146453687
39,2.6738614893548836e-05,4.352487948117489e-06,0.9998834671333169
40,2.387430132559074e-05,3.886237533359659e-06,0.9998873533708502
41,2.267725773032037e-05,3.6913838417033068e-06,0.9998910447546919
42,2.217086935842487e-05,3.608954392963471e-06,0.9998946537090849
43,2.1575353817677264e-05,3.5120169029573604e-06,0.9998981657259879
44,2.0933123681092997e-05,3.4074752525940395e-06,0.9999015732012405
45,1.728072429480963e-05,2.812940929339116e-06,0.9999043861421698
46,1.701130017285577e-05,2.7690843104228074e-06,0.9999071552264802
47,1.635500321331041e-05,2.662252875130454e-06,0.9999098174793554
48,1.6016612834629815e-05,2.6071699902903133e-06,0.9999124246493457
49,1.5643971747339103e-05,2.5465118055689525e-06,0.9999149711611512
50,1.4553024390229942e-05,2.3689283651868603e-06,0.9999173400895164
51,1.4262534521969121e-05,2.321642682824888e-06,0.9999196617321993
52,1.3811603897563667e-05,2.248240596891283e-06,0.9999219099727962
53,1.2920399658410905e-05,2.103171163576715e-06,0.9999240131439597
54,1.2809295415908238e-05,2.08508571381042e-06,0.9999260982296736
55,1.2112093199885096e-05,1.9715957572542307e-06,0.9999280698254308
56,1.1673448401978449e-05,1.9001935472297412e-06,0.999929970018978
57,1.1319441644350043e-05,1.8425686421153954e-06,0.9999318125876201
58,1.1229460303834105e-05,1.8279215595454764e-06,0.9999336405091797
59,1.0769342778717369e-05,1.7530240380859255e-06,0.9999353935332177
60,1.0495251983514499e-05,1.7084077822491936e-06,0.9999371019409999
61,1.0085502443053911e-05,1.6417091165291651e-06,0.9999387436501165
62,9.68995680068296e-06,1.5773225487056642e-06,0.9999403209726652
63,9.54936110263269e-06,1.554436506038263e-06,0.9999418754091712
64,9.232449874034363e-06,1.5028499781426044e-06,0.9999433782591494
65,8.812232615337428e-06,1.4344473865591992e-06,0.9999448127065359
66,8.70518776928379e-06,1.4170227217360052e-06,0.9999462297292576
67,8.501654816521392e-06,1.3838918087298556e-06,0.9999476136210663
68,8.389299007176336e-06,1.3656026300262374e-06,0.9999489792236963
69,8.2332522098109e-06,1.3402014711562145e-06,0.9999503194251674
70,7.909341274892735e-06,1.2874755372921188e-06,0.9999516069007047
71,7.677974798540659e-06,1.2498139080742275e-06,0.9999528567146128
72,7.638405921346702e-06,1.243372921441491e-06,0.9999541000875342
73,7.153404501496658e-06,1.1644248217317153e-06,0.999955264512356
74,7.0075335882182555e-06,1.1406800842218334e-06,0.9999564051924402
75,6.872384633487384e-06,1.1186806575870334e-06,0.9999575238730978
76,6.743132329302292e-06,1.0976410824829486e-06,0.9999586215141802
77,6.3632265095513226e-06,1.035800351073756e-06,0.9999596573145313
78,6.09273937548902e-06,9.917706959919942e-07,0.9999606490852273
79,6.065171721252261e-06,9.872832577570274e-07,0.999961636368485
80,5.82263319461877e-06,9.478030521319734e-07,0.9999625841715372
81,5.636718206306308e-06,9.17539975707636e-07,0.9999635017115128
82,5.446477315998488e-06,8.865727328044255e-07,0.9999643882842456
83,5.236908019158214e-06,8.524592290786652e-07,0.9999652407434747
84,5.01658203930604e-06,8.165947620604004e-07,0.9999660573382367
85,4.87781225059752e-06,7.940059392914855e-07,0.9999668513441761
86,4.718481149568987e-06,7.680701643926034e-07,0.9999676194143404
87,4.666353050824122e-06,7.59584798847358e-07,0.9999683789991393
88,4.473380986957152e-06,7.281729779415942e-07,0.9999691071721172
89,4.276642492260547e-06,6.961480607756587e-07,0.9999698033201779
90,4.158298586388598e-06,6.768841450458622e-07,0.999970480204323
91,3.9900983117506826e-06,6.495046539560598e-07,0.999971129708977
92,3.785190601609398e-06,6.161499591666349e-07,0.9999717458589361
93,3.71055444030913e-06,6.040007512197586e-07,0.9999723498596873
94,3.672880504582111e-06,5.978682214734416e-07,0.9999729477279088
95,3.5156509751800095e-06,5.722745385345418e-07,0.9999735200024473
96,3.4384684844202925e-06,5.597108413432408e-07,0.9999740797132887
97,3.395421058728707e-06,5.527036196802626e-07,0.9999746324169083
98,3.3019064892405436e-06,5.374814012410857e-07,0.9999751698983096
