pixel_id,row,col,valid,split_label,raw_min,raw_max,scaled_min,scaled_max,brightness_mean_band,spectrum_l2_norm,zero_band_count,nonfinite_band_count,negative_band_count,gt1_band_count,duplicate_group_size_valid,constant_spectrum,purity_max_A_ref,entropy_normalized_A_ref,dominant_reference_material,adjacent_original_band_difference_rms_proxy,spatial_neighbor_rmse_proxy,rmse_reference,rmse_fcls,sam_reference_radians,sam_fcls_radians,fcls_armse_vs_reference,fcls_kkt_max_violation,flag_brightness,flag_reference_rmse,flag_fcls_rmse,A_fcls_tree,A_fcls_water,A_fcls_dirt,A_fcls_road,A_fcls_minus_reference_tree,A_fcls_minus_reference_water,A_fcls_minus_reference_dirt,A_fcls_minus_reference_road
0,0,0,True,0,14,3552,0.0028,0.7104,0.3773525252525253,6.023860234102382,0,0,0,0,1,False,0.5599830993465267,0.4947967002585215,tree,0.012820120404250781,0.02460167091257672,0.08810329554133076,0.08071822205660151,0.04999785017125433,0.11110861974715269,0.14241872486176047,-0.0,True,False,True,0.3585726071111427,0.0,0.6414273928888573,0.0,-0.201410492235384,0.0,0.20141049223538393,0.0
1,1,0,True,0,22,3714,0.0044,0.7428,0.4033515151515152,6.426897553252268,0,0,0,0,1,False,0.5599830993465267,0.4947967002585215,tree,0.013658141180732487,0.044132290655241935,0.11595477191907856,0.10528285437122965,0.04399278986657892,0.1368982639394543,0.1959866583886363,1.7763568394002505e-15,True,False,True,0.28281610900913445,0.0,0.7171838909908655,0.0,-0.2771669903373922,0.0,0.27716699033739217,0.0
2,2,0,True,0,14,3509,0.0028,0.7018,0.3624858585858586,5.86774753035609,0,0,0,0,1,False,0.7053305609691464,0.43733846143249056,tree,0.01313396848652867,0.06345849162043636,0.08695237025031353,0.08127146883074154,0.030362516642531225,0.0979461458422613,0.12468901063120143,1.7763568394002505e-15,True,False,True,0.5289936710556183,0.0,0.4710063289443817,0.0,-0.17633688991352803,0.0,0.17633688991352814,0.0
3,3,0,True,0,6,3575,0.0012,0.715,0.2762171717171717,5.183768432327972,0,0,0,0,1,False,1.0,-0.0,tree,0.016861566067729605,0.050098678872710904,0.07193477552602606,0.07193477552602606,0.1352698275890759,0.1352698275890759,0.0,-0.0,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,True,0,14,3630,0.0028,0.726,0.2934676767676767,5.3334722536074,0,0,0,0,1,False,1.0,-0.0,tree,0.01692261118240235,0.020964269366237426,0.0728631235764779,0.0728631235764779,0.08948530325734348,0.08948530325734348,0.0,-0.0,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,True,0,6,3411,0.0012,0.6822,0.2739949494949495,4.996695455998894,0,0,0,0,1,False,1.0,-0.0,tree,0.01574341050595374,0.04367197073079258,0.052729472138995793,0.052729472138995793,0.0952906701982543,0.0952906701982543,0.0,-0.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,True,0,7,4091,0.0014,0.8182,0.3517333333333333,6.208630824908178,0,0,0,0,1,False,1.0,-0.0,tree,0.018733701976480506,0.07726010438783903,0.12931606173437915,0.12784457997967077,0.04516312162727195,0.09851788842590467,0.07846129532509535,3.552713678800501e-15,True,False,True,0.8890389720298895,0.0,0.11096102797011059,0.0,-0.11096102797011054,0.0,0.11096102797011059,0.0
7,7,0,True,0,22,2882,0.0044,0.5764,0.3132787878787879,5.005666277330122,0,0,0,0,1,False,0.6171881497750321,0.48000187977086667,tree,0.011876043543891638,0.0726779047110143,0.021601540800645514,0.021249730790818988,0.03323214925671236,0.03851295270271669,0.015660720383207177,4.440892098500626e-16,True,False,False,0.5950405466125678,0.0,0.40495945338743217,0.0,-0.022147603162464335,0.0,0.02214760316246439,0.0
8,8,0,True,0,16,2376,0.0032,0.4752,0.24440808080808082,3.975687492748895,0,0,0,0,1,False,0.7062301603809201,0.4367706674792308,tree,0.010360140579186794,0.04144647563500753,0.049567223058706616,0.01265786900511013,0.0381010481583377,0.044636634735533844,0.08906675876506945,4.440892098500626e-16,False,False,False,0.6348745082338921,0.14543689501013718,0.21968859675597077,0.0,-0.07135565214702799,0.14543689501013718,-0.07408124286310921,0.0
9,9,0,True,0,7,2456,0.0014,0.4912,0.24316262626262627,4.018216713916759,0,0,0,0,1,False,0.7832717410496518,0.3770741206770955,tree,0.013775839124704658,0.0322467174246768,0.04326901230916766,0.01686711731998666,0.05556434560797297,0.05900422038621624,0.07573683379822782,9.298117831235686e-16,False,False,False,0.7132028795722326,0.12329485208375213,0.1635022683440152,0.0,-0.0700688614774192,0.12329485208375213,-0.05322599060633307,0.0
10,10,0,True,0,6,2722,0.0012,0.5444,0.23356262626262628,4.1154861827006535,0,0,0,0,1,False,1.0,-0.0,tree,0.015572684830192668,0.03544331466612382,0.027895376960455624,0.019021757249551147,0.06242553259637924,0.06500100677310981,0.0485792708069867,2.5673907444456745e-15,False,False,False,0.9312985363745641,0.068701463625436,0.0,0.0,-0.06870146362543594,0.068701463625436,0.0,0.0
11,11,0,True,0,12,2906,0.0024,0.5812,0.23894242424242423,4.3391967044604005,0,0,0,0,1,False,1.0,-0.0,tree,0.015748009235195256,0.0382061162207127,0.030563584041305245,0.030125435016150625,0.09727793203742427,0.09779344506600397,0.012277242405301855,3.885780586188048e-16,False,False,False,0.9826373572818801,0.01736264271811999,0.0,0.0,-0.017362642718119936,0.01736264271811999,0.0,0.0
12,12,0,True,0,7,3394,0.0014,0.6788,0.2929050505050505,5.221121565334406,0,0,0,0,1,False,1.0,-0.0,tree,0.01627749114417569,0.03273050833592194,0.06171961575893736,0.06171961575893736,0.061581390620653244,0.061581390620653244,0.0,-0.0,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,True,0,6,3593,0.0012,0.7186,0.3051434343434344,5.520577404583691,0,0,0,0,1,False,1.0,-0.0,tree,0.01803726626623265,0.02189027224485246,0.084529827084718,0.084529827084718,0.08336276448261003,0.08336276448261003,0.0,-0.0,True,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,True,0,8,3288,0.0016,0.6576,0.2912353535353535,5.12890582093296,0,0,0,0,1,False,1.0,-0.0,tree,0.017043112752889136,0.019524319450759248,0.054167146387643514,0.054167146387643514,0.04980006943989087,0.04980006943989087,0.0,-0.0,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,0,True,0,16,3405,0.0032,0.681,0.30155656565656563,5.330410622081567,0,0,0,0,1,False,1.0,-0.0,tree,0.016597009307363724,0.019340171038369876,0.06809368393335004,0.06807019244724923,0.05078861333952878,0.05558746802112648,0.007213764854737812,5.329070518200751e-15,True,False,True,0.9897981959066594,0.0,0.010201804093340594,0.0,-0.010201804093340594,0.0,0.010201804093340594,0.0
