split,model,n_pixels,status,rmse,signal_energy,residual_energy,sre_db,sre_status,sam_mean_radians,sam_defined_count,armse_vs_reference
all_valid_descriptive,reference,10000,defined,0.0550835014941999,197268.3785168,6007.700430985815,15.163492060292691,defined,0.11512008789275262,10000,
all_valid_descriptive,fcls,10000,defined,0.043235939196838616,197268.3785168,3701.3059477007973,17.26702489733193,defined,0.09068780322024138,10000,0.0851282594151123
train,reference,5800,defined,0.05128513290967943,69006.00513228,3020.481322425905,13.588107315810099,defined,0.16659944461780027,5800,
train,fcls,5800,defined,0.03725448557394323,69006.00513228,1593.8605649734095,16.364365606111186,defined,0.10960257238117696,5800,0.07945581059340706
val,reference,1800,defined,0.05634347955638409,56559.47988384,1131.4230521887675,16.988803840409243,defined,0.0420314740877855,1800,
val,fcls,1800,defined,0.04694800608161295,56559.47988384,785.546684023959,18.57333407369552,defined,0.06267309701381153,1800,0.08808114269112884
test,reference,2000,defined,0.06367743512134572,59966.245245520004,1605.707034478744,15.72240546585106,defined,0.04561543725087875,2000,
test,fcls,2000,defined,0.05390105981959861,59966.245245520004,1150.5084028716756,17.170170616352006,defined,0.06654993894508761,2000,0.09633530402713258
buffer,reference,400,defined,0.056193324072869755,11736.648255160002,250.08902189239825,16.71449461053712,defined,0.045091430711283624,400,
buffer,fcls,400,defined,0.04651901639936687,11736.648255160002,171.39029583175343,18.355578606611175,defined,0.0631791496913786,400,0.09118108624531503
