split,residual,feature,n,pearson,spearman,status
all_valid_descriptive,reference_rmse,brightness,10000,0.49662153741555165,0.6092430516029345,descriptive_no_causal_inference
all_valid_descriptive,reference_rmse,purity_A_ref,10000,-0.3458572570629065,-0.40319290355555604,descriptive_no_causal_inference
all_valid_descriptive,reference_rmse,entropy_A_ref,10000,0.3639877955763096,0.4077843114980723,descriptive_no_causal_inference
all_valid_descriptive,reference_rmse,spatial_neighbor_proxy,10000,0.5669459342963594,0.6286310393863105,descriptive_no_causal_inference
all_valid_descriptive,reference_rmse,adjacent_band_proxy,10000,0.5458469978416952,0.6376337269639017,descriptive_no_causal_inference
all_valid_descriptive,fcls_rmse,brightness,10000,0.6745836972579797,0.7655424921573257,descriptive_no_causal_inference
all_valid_descriptive,fcls_rmse,purity_A_ref,10000,-0.2531133607311392,-0.3574584803950804,descriptive_no_causal_inference
all_valid_descriptive,fcls_rmse,entropy_A_ref,10000,0.20450472495335195,0.3258996650113941,descriptive_no_causal_inference
all_valid_descriptive,fcls_rmse,spatial_neighbor_proxy,10000,0.4070241784487999,0.6282236088182361,descriptive_no_causal_inference
all_valid_descriptive,fcls_rmse,adjacent_band_proxy,10000,0.6453897284211063,0.7919633703655131,descriptive_no_causal_inference
train,reference_rmse,brightness,5800,0.5600099641279287,0.7829020064893147,descriptive_no_causal_inference
train,reference_rmse,purity_A_ref,5800,-0.5851601853810902,-0.6234734511296384,descriptive_no_causal_inference
train,reference_rmse,entropy_A_ref,5800,0.5784217941410432,0.6226766267805568,descriptive_no_causal_inference
train,reference_rmse,spatial_neighbor_proxy,5800,0.7025632102701871,0.78782232630166,descriptive_no_causal_inference
train,reference_rmse,adjacent_band_proxy,5800,0.5986272903722251,0.7351194272013172,descriptive_no_causal_inference
train,fcls_rmse,brightness,5800,0.7701663399330435,0.8523923173023359,descriptive_no_causal_inference
train,fcls_rmse,purity_A_ref,5800,-0.3614945050487659,-0.4496783146375698,descriptive_no_causal_inference
train,fcls_rmse,entropy_A_ref,5800,0.28922771737785863,0.42786665185649286,descriptive_no_causal_inference
train,fcls_rmse,spatial_neighbor_proxy,5800,0.5475169513353719,0.8142906100849028,descriptive_no_causal_inference
train,fcls_rmse,adjacent_band_proxy,5800,0.6953126618667604,0.8617291559678515,descriptive_no_causal_inference
val,reference_rmse,brightness,1800,0.1743506135199337,0.227687361894633,descriptive_no_causal_inference
val,reference_rmse,purity_A_ref,1800,0.07862371974153073,0.10178463845744604,descriptive_no_causal_inference
val,reference_rmse,entropy_A_ref,1800,-0.07808967627125198,-0.10613848940396295,descriptive_no_causal_inference
val,reference_rmse,spatial_neighbor_proxy,1800,0.1267576325637565,0.011694147642226638,descriptive_no_causal_inference
val,reference_rmse,adjacent_band_proxy,1800,0.4143626879386014,0.3956776447564747,descriptive_no_causal_inference
val,fcls_rmse,brightness,1800,0.2690772340710693,0.2573473299577095,descriptive_no_causal_inference
val,fcls_rmse,purity_A_ref,1800,0.1174062776605914,0.1298319350262858,descriptive_no_causal_inference
val,fcls_rmse,entropy_A_ref,1800,-0.1947385693576336,-0.210983500327939,descriptive_no_causal_inference
val,fcls_rmse,spatial_neighbor_proxy,1800,-0.08283387357501705,-0.14696912560775482,descriptive_no_causal_inference
val,fcls_rmse,adjacent_band_proxy,1800,0.46180686594879733,0.4689808525661068,descriptive_no_causal_inference
test,reference_rmse,brightness,2000,0.26740878497125214,0.2860556889075475,descriptive_no_causal_inference
test,reference_rmse,purity_A_ref,2000,0.1395496936554072,0.14370573736516412,descriptive_no_causal_inference
test,reference_rmse,entropy_A_ref,2000,-0.08105658652696826,-0.11931651959972894,descriptive_no_causal_inference
test,reference_rmse,spatial_neighbor_proxy,2000,0.12167611823099017,0.10450641512660377,descriptive_no_causal_inference
test,reference_rmse,adjacent_band_proxy,2000,0.16142875129140888,0.21455944313986078,descriptive_no_causal_inference
test,fcls_rmse,brightness,2000,0.4751101886008781,0.418369423283687,descriptive_no_causal_inference
test,fcls_rmse,purity_A_ref,2000,0.05853742523935258,0.030800066289475875,descriptive_no_causal_inference
test,fcls_rmse,entropy_A_ref,2000,-0.042980125970399984,-0.0428228475269898,descriptive_no_causal_inference
test,fcls_rmse,spatial_neighbor_proxy,2000,0.01796791946836851,-0.0034163408540852135,descriptive_no_causal_inference
test,fcls_rmse,adjacent_band_proxy,2000,0.3970392483872742,0.38641403910350974,descriptive_no_causal_inference
buffer,reference_rmse,brightness,400,0.26957155971862057,0.3488324302026887,descriptive_no_causal_inference
buffer,reference_rmse,purity_A_ref,400,0.04193087694492397,0.07785794285081384,descriptive_no_causal_inference
buffer,reference_rmse,entropy_A_ref,400,-0.07509792907333372,-0.13011668154789952,descriptive_no_causal_inference
buffer,reference_rmse,spatial_neighbor_proxy,400,0.21194750832784232,0.03449909061931637,descriptive_no_causal_inference
buffer,reference_rmse,adjacent_band_proxy,400,0.3744634781964518,0.431282695516847,descriptive_no_causal_inference
buffer,fcls_rmse,brightness,400,0.45351178711541035,0.43289426808917547,descriptive_no_causal_inference
buffer,fcls_rmse,purity_A_ref,400,0.017944730789882835,0.05840163985759519,descriptive_no_causal_inference
buffer,fcls_rmse,entropy_A_ref,400,-0.10165511731108967,-0.18767228917085416,descriptive_no_causal_inference
buffer,fcls_rmse,spatial_neighbor_proxy,400,-0.030679079644393155,-0.1511823823898899,descriptive_no_causal_inference
buffer,fcls_rmse,adjacent_band_proxy,400,0.40368355189214145,0.49510021937637105,descriptive_no_causal_inference
